,categories_hierarchy,mega_cat
153,'en:canned-white-asparagus',['HORTALIZAS']
154,'en:canned-white-common-beans',['LEGUMBRES']
155,'en:canned-whole-champignon-mushrooms',['HORTALIZAS' 'CARNE']
156,'en:cannelloni',[nan]
157,'en:caramel-chocolate-bars',['LIPIDOS']
158,'en:caramel-chocolate-cookie-bars',['LIPIDOS']
159,'en:caramelized-almonds',['LEGUMBRES']
160,'en:caramels',[nan]
161,'en:carbonated-drinks',['BEBIDAS']
162,'en:carrot-cakes',['CEREALES']
163,'en:carrots',['HORTALIZAS']
164,'en:cashew-nuts',['LEGUMBRES']
165,'en:cassava-crisps',['CEREALES']
166,'en:cauliflowers',[nan]
167,'en:cayenne-peppers',['LEGUMBRES']
168,'en:cereal-bars',['CEREALES']
169,'en:cereal-brans',['CEREALES']
170,'en:cereal-flakes',['CEREALES']
171,'en:cereal-flakes-with-chocolate',['CEREALES' 'LIPIDOS']
172,'en:cereal-flakes-with-fruits',['FRUTAS' 'CEREALES']
173,'en:cereal-flours',['CEREALES']
174,'en:cereal-grains',['CEREALES']
175,'en:cereal-milks',['LACTEOS' 'CEREALES']
176,'en:cereal-semolinas',['CEREALES']
177,'en:cereal-starches',['CEREALES']
178,'en:cereals-and-potatoes',['CEREALES']
179,'en:cereals-and-their-products',['CEREALES']
180,'en:cereals-with-fruits',['FRUTAS' 'CEREALES']
181,'en:chai-teas',['BEBIDAS']
182,'en:chamomile',['CARNE']
183,'en:champignon-mushrooms',['HORTALIZAS' 'CARNE']
184,'en:chards',[nan]
185,'en:cheddar-cheese',['LACTEOS']
186,'en:cheese-pizzas',['LACTEOS']
187,'en:cheese-sauces',['LACTEOS']
188,'en:cheese-spreads',['LACTEOS']
189,'en:cheesecakes',['LACTEOS' 'CEREALES']
190,'en:cheeses',['LACTEOS']
191,'en:cheeses-from-england',['LACTEOS']
192,'en:cheeses-from-the-united-kingdom',['LACTEOS']
193,'en:cherries-in-syrup',['FRUTAS']
194,'en:chewing-gum',[nan]
195,'en:chia',[nan]
196,'en:chicken-ham',['CARNE']
197,'en:chicken-nuggets',['CARNE']
198,'en:chicken-preparations',['CARNE']
199,'en:chicken-rillettes',['CARNE']
200,'en:chicken-wings',['CARNE']
201,'en:chickens',['CARNE']
202,'en:chickpeas',['LEGUMBRES']
203,'en:chickpeas-flours',['LEGUMBRES']
204,'en:chili-peppers',['LEGUMBRES']
205,'en:chinese-green-teas',['BEBIDAS']
206,'en:chinese-noodles',[nan]
207,'en:chips-and-fries',[nan]
208,'en:chocolate-bars',['LIPIDOS']
209,'en:chocolate-biscuits',['CEREALES' 'LIPIDOS']
210,'en:chocolate-cakes',['CEREALES' 'LIPIDOS']
211,'en:chocolate-candies',['LIPIDOS']
212,'en:chocolate-cereal-bars',['CEREALES' 'LIPIDOS']
213,'en:chocolate-cereals',['CEREALES' 'LIPIDOS']
214,'en:chocolate-chip-cookies',['LIPIDOS']
215,'en:chocolate-chunks-yogurts',['LACTEOS' 'LIPIDOS']
216,'en:chocolate-covered-almonds',['LIPIDOS' 'LEGUMBRES']
217,'en:chocolate-covered-cherries',['LIPIDOS' 'FRUTAS']
218,'en:chocolate-covered-fruits',['FRUTAS' 'LIPIDOS']
219,'en:chocolate-covered-nuts',['LEGUMBRES' 'LIPIDOS']
220,'en:chocolate-covered-peanuts',['LEGUMBRES' 'LIPIDOS']
221,'en:chocolate-croissant',['LIPIDOS']
222,'en:chocolate-desserts',['LIPIDOS']
223,'en:chocolate-ice-cream-bars',['LACTEOS' 'LIPIDOS']
224,'en:chocolate-milks',['LACTEOS' 'LIPIDOS']
225,'en:chocolate-powders',['LIPIDOS']
226,'en:chocolate-sandwich-cookies',['LIPIDOS']
227,'en:chocolate-soy-desserts',['LIPIDOS']
228,'en:chocolate-soy-milks',['LACTEOS' 'LIPIDOS']
229,'en:chocolate-spreads',['LIPIDOS']
230,'en:chocolate-stuffed-wafers',['LIPIDOS']
231,'en:chocolate-truffles',['LIPIDOS']
232,'en:chocolate-turron',['LIPIDOS']
233,'en:chocolate-turron-with-almonds',['LIPIDOS' 'LEGUMBRES']
234,'en:chocolate-turron-with-puffed-rice',['CEREALES' 'LIPIDOS']
235,'en:chocolates',['LIPIDOS']
236,'en:chocolates-with-almonds',['LIPIDOS' 'LEGUMBRES']
237,'en:chocolates-with-hazelnuts',['LEGUMBRES' 'LIPIDOS']
238,'en:chocolates-with-sweeteners',['LIPIDOS']
239,'en:chopped-olives',['HORTALIZAS']
240,'en:chorizo',[nan]
241,'en:christmas-chocolates',['LIPIDOS']
242,'en:christmas-foods-and-drinks',['BEBIDAS']
243,'en:christmas-sweets',['LIPIDOS']
244,'en:churros',[nan]
245,'en:cider-vinegars',[nan]
246,'en:cinnamon',[nan]
247,'en:cinnamon-powder',[nan]
248,'en:cinnamon-sticks',[nan]
249,'en:citrus',[nan]
250,'en:citrus-jams',['LIPIDOS']
251,'en:cloves',[nan]
252,'en:cocoa-and-chocolate-powders',['LIPIDOS']
253,'en:cocoa-and-hazelnuts-spreads',['LEGUMBRES']
254,'en:cocoa-powders',[nan]
255,'en:coconut-ice-cream-tubs',['LACTEOS']
256,'en:coconut-oils',['LIPIDOS']
257,'en:coconut-turron',['LIPIDOS']
258,'en:coconut-waters',[nan]
259,'en:coconut-yogurts',['LACTEOS']
260,'en:cods',[nan]
261,'en:coffee-capsules',['BEBIDAS']
262,'en:coffee-drinks',['BEBIDAS']
263,'en:coffee-soy-milks',['LACTEOS' 'BEBIDAS']
264,'en:coffees',['BEBIDAS']
265,'en:colas',[nan]
266,'en:cold-soups',['HORTALIZAS']
267,'en:common-beans',['LEGUMBRES']
268,'en:compotes',[nan]
269,'en:compotes-to-drink',['BEBIDAS']
270,'en:concentrated-apple-juices',['FRUTAS']
271,'en:concentrated-fruit-juices',['FRUTAS']
272,'en:concentrated-grapefruit-juices',['FRUTAS']
273,'en:concentrated-multifruit-juices',['FRUTAS']
274,'en:concentrated-pear-juices',[nan]
275,'en:condiments',[nan]
276,'en:confectioneries',[nan]
277,'en:cooked-chicken',['CARNE']
278,'en:cooked-poultries',[nan]
279,'en:cooked-pressed-cheeses',['LACTEOS']
280,'en:cooking-helpers',[nan]
281,'en:corn',['CEREALES']
282,'en:corn-chips',['CEREALES']
283,'en:corn-flakes',['CEREALES']
284,'en:corn-salad',['CEREALES' 'HORTALIZAS']
285,'en:corn-starch',['CEREALES']
286,'en:cornmeal',['CEREALES']
287,'en:cow-cheeses',['LACTEOS']
288,'en:cow-milk-yogurt',['LACTEOS']
289,'en:cow-milks',['LACTEOS']
290,'en:cracked-marinated-green-olives',['HORTALIZAS']
291,'en:cracked-olives',['HORTALIZAS']
292,'en:crackers',[nan]
293,'en:cranberries',['FRUTAS']
294,'en:cream-cheeses',['LACTEOS']
295,'en:cream-of-asparagus-soups',['LACTEOS' 'HORTALIZAS']
296,'en:cream-of-pumpkin-soups',['LACTEOS' 'HORTALIZAS']
297,'en:cream-of-vegetable-soups',['LACTEOS' 'HORTALIZAS']
298,'en:cream-of-zucchini-soups',['LACTEOS' 'HORTALIZAS']
