,categories_hierarchy,mega_cat
603,'en:ground-black-peppers',['LEGUMBRES']
604,'en:ground-coffees',['BEBIDAS']
605,'en:ground-cumin-seeds',['LEGUMBRES']
606,'en:ground-dried-aromatic-plants',['LEGUMBRES']
607,'en:ground-dried-basil',['LEGUMBRES']
608,'en:ground-dried-dill',['LEGUMBRES']
609,'en:ground-dried-mint',['LEGUMBRES' 'HORTALIZAS']
610,'en:ground-dried-oregano',['LEGUMBRES']
611,'en:ground-dried-parsley',['LEGUMBRES']
612,'en:ground-dried-rosemary',['LEGUMBRES']
613,'en:ground-dried-spearmint',['LEGUMBRES' 'HORTALIZAS']
614,'en:ground-dried-thyme',['LEGUMBRES']
615,'en:ground-dried-vegetables',['LEGUMBRES' 'HORTALIZAS']
616,'en:ground-nutmeg',[nan]
617,'en:ground-peppers',['LEGUMBRES']
618,'en:ground-white-peppers',['LEGUMBRES']
619,'en:guacamoles',[nan]
620,'en:ham-pizzas',['CARNE']
621,'en:ham-sandwiches',['CARNE']
622,'en:hamburger-buns',['CARNE']
623,'en:hamburgers',['CARNE']
624,'en:hams',['CARNE']
625,'en:handmade-breadsticks',['CEREALES']
626,'en:havarti',[nan]
627,'en:hazelnut-spreads',[nan]
628,'en:hazelnuts',['LEGUMBRES']
629,'en:hearts-of-palm',[nan]
630,'en:herbal-fruit-teas-in-tea-bags',['FRUTAS' 'BEBIDAS']
631,'en:herbal-tea-blends',['BEBIDAS']
632,'en:herbal-teas',['BEBIDAS']
633,'en:herbal-teas-in-tea-bags',['BEBIDAS']
634,'en:herbes-de-provence',[nan]
635,'en:himalaya-salts',[nan]
636,'en:homogenized-milks',['LACTEOS']
637,'en:honey-mustards',[nan]
638,'en:honeys',['LIPIDOS']
639,'en:horchatas-de-chufa',[nan]
640,'en:hot-beverages',['BEBIDAS']
641,'en:hot-dog-buns',[nan]
642,'en:hot-sauces',[nan]
643,'en:hummus',[nan]
644,'en:ice-cream-bars',['LACTEOS']
645,'en:ice-cream-cones',['LACTEOS']
646,'en:ice-cream-sandwiches',['LACTEOS']
647,'en:ice-cream-tubs',['LACTEOS']
648,'en:ice-creams',['LACTEOS']
649,'en:ice-creams-and-sorbets',['LACTEOS']
650,'en:ice-pops',[nan]
651,'en:iced-teas',['BEBIDAS']
652,'en:indica-rices',['CEREALES']
653,'en:industrial-cheese',['LACTEOS']
654,'en:instant-beverages',['BEBIDAS']
655,'en:instant-coffees',['BEBIDAS']
656,'en:instant-noodle-soups',['HORTALIZAS']
657,'en:instant-noodles',[nan]
658,'en:instant-pasta',['CEREALES']
659,'en:italian-cheeses',['LACTEOS']
660,'en:jams',['LIPIDOS']
661,'en:japonica-rices',['CEREALES']
662,'en:jasmine-rice',['CEREALES']
663,'en:jelly-desserts',[nan]
664,'en:juices-and-nectars',['FRUTAS']
665,'en:kabuli-chickpeas',['LEGUMBRES']
666,'en:kefir',[nan]
667,'en:ketchup',[nan]
668,'en:kiwi-yogurts',['LACTEOS']
669,'en:kombuchas',[nan]
670,'en:lactose-free-cheeses',['LACTEOS']
671,'en:lactose-free-creams',['LACTEOS']
672,'en:lactose-free-milk',['LACTEOS']
673,'en:lactose-free-yogurts',['LACTEOS']
674,'en:lamb-meat',['CARNE']
675,'en:leaf-salads',['HORTALIZAS']
676,'en:leaf-vegetables',['HORTALIZAS']
677,'en:lechoso-chickpeas',['LEGUMBRES']
678,'en:legume-butters',['LIPIDOS']
679,'en:legume-flours',[nan]
680,'en:legume-milks',['LACTEOS']
681,'en:legume-pickles',[nan]
682,'en:legume-seeds',['LEGUMBRES']
683,'en:legumes',['HORTALIZAS']
684,'en:legumes-and-their-products',['HORTALIZAS']
685,'en:lemon-juice',['FRUTAS']
686,'en:lemon-soft-drinks',['FRUTAS' 'BEBIDAS']
687,'en:lemon-sorbets',['FRUTAS']
688,'en:lemon-teas',['FRUTAS' 'BEBIDAS']
689,'en:lentil-salads',['HORTALIZAS']
690,'en:lentils',['LEGUMBRES']
691,'en:lettuces',['HORTALIZAS']
692,'en:light-fruit-sodas',['FRUTAS']
693,'en:light-iced-teas',['BEBIDAS']
694,'en:light-lemon-soft-drinks',['FRUTAS' 'BEBIDAS']
695,'en:light-margarines',[nan]
696,'en:light-mayonnaises',[nan]
697,'en:limeflower-tea',['BEBIDAS']
698,'en:liquid-broths',[nan]
699,'en:liquid-caramel',[nan]
700,'en:liquid-cream',['LACTEOS']
701,'en:liquor-filled-chocolate-covered-cherries',['LIPIDOS' 'FRUTAS']
702,'en:liquorice',['CEREALES']
703,'en:lollipops',[nan]
704,'en:long-grain-rices',['CEREALES']
705,'en:low-fat-yogurts',['LACTEOS']
706,'en:low-sugar-fruit-jam',['FRUTAS' 'LIPIDOS']
707,'en:lupin-beans',['LEGUMBRES']
708,'en:macadamia-nuts',['LEGUMBRES']
709,'en:macarons',[nan]
710,'en:mackerels',[nan]
711,'en:madeleines',[nan]
712,'en:manchego',[nan]
713,'en:mandarin-oranges',['FRUTAS']
714,'en:mango-juices',[nan]
715,'en:mango-sorbets',[nan]
716,'en:mango-yogurts',['LACTEOS']
717,'en:mangoes',[nan]
718,'en:margarines',[nan]
719,'en:marinated-anchovy-fillets',['CARNE']
720,'en:marinated-anchovy-fillets-with-vegetable-oil',['HORTALIZAS' 'CARNE' 'LIPIDOS']
721,'en:marinated-olives',['HORTALIZAS']
722,'en:marmalades',[nan]
723,'en:marsh-mallow',[nan]
724,'en:marzipan',[nan]
725,'en:marzipan-figures',[nan]
726,'en:marzipan-of-soto',[nan]
727,'en:mascarpone',[nan]
728,'en:mayonnaises',[nan]
729,'en:meals',[nan]
730,'en:meals-with-chicken',['CARNE']
731,'en:meals-with-fish',['PESCADO']
732,'en:meals-with-meat',['CARNE']
733,'en:meat-analogues',['CARNE']
734,'en:meat-based-pasta-sauces',['CARNE' 'CEREALES']
735,'en:meat-based-products',['CARNE']
736,'en:meat-based-sauces',['CARNE']
737,'en:meat-preparations',['CARNE']
738,'en:meats',['CARNE']
739,'en:melted-cheese',['LACTEOS']
740,'en:microwave-meals',[nan]
741,'en:milk-bread-rolls',['LACTEOS']
742,'en:milk-chocolate-biscuits',['LACTEOS' 'CEREALES' 'LIPIDOS']
743,'en:milk-chocolate-with-almonds',['LACTEOS' 'LIPIDOS' 'LEGUMBRES']
744,'en:milk-chocolate-with-hazelnuts',['LACTEOS' 'LEGUMBRES' 'LIPIDOS']
745,'en:milk-chocolates',['LACTEOS' 'LIPIDOS']
746,'en:milk-chocolates-with-sweeteners',['LACTEOS' 'LIPIDOS']
747,'en:milk-substitute',['LACTEOS']
748,'en:milkfat',['LACTEOS']
749,'en:milks',['LACTEOS']
750,'en:mint',['HORTALIZAS']
751,'en:mint-teas',['HORTALIZAS' 'BEBIDAS']
752,'en:miso-soup',[nan]
753,'en:mixed-cereal-flakes',['CEREALES']
754,'en:mixed-fruit-soy-yogurts',['LACTEOS' 'FRUTAS']
755,'en:mixed-plant-milks',['LACTEOS']
756,'en:mixed-rices',['CEREALES']
757,'en:mixed-vegetable-oils',['HORTALIZAS' 'LIPIDOS']
758,'en:mixed-vegetable-pickles',['HORTALIZAS']
759,'en:mixes-for-dessert-creams',['LACTEOS']
760,'en:mixes-for-jelly-desserts',[nan]
761,'en:mixtures-of-aromatic-plants',[nan]
762,'en:mixtures-of-herbs-and-spices',[nan]
763,'en:mochi-ice-cream',['LACTEOS']
764,'en:mollusc',[nan]
765,'en:mortadella',[nan]
766,'en:mozzarella',[nan]
767,'en:mueslis',[nan]
768,'en:mueslis-with-chocolate',['LIPIDOS']
769,'en:mueslis-with-fruits',['FRUTAS']
770,'en:mueslis-with-nuts',['LEGUMBRES']
771,'en:multifruit-juices',['FRUTAS']
772,'en:multifruit-nectars',['FRUTAS']
773,'en:mung-beans',['LEGUMBRES']
774,'en:mushrooms',['HORTALIZAS']
775,'en:mushrooms-and-their-products',['HORTALIZAS']
776,'en:mussels',[nan]
777,'en:mussels-with-escabeche',[nan]
778,'en:mustards',[nan]
779,'en:natural-sugar-substitutes',['LIPIDOS']
780,'en:neapolitan-sauces',[nan]
781,'en:nespresso-compatible-coffee-capsules',['BEBIDAS']
782,'en:non-alcoholic-beverages',['ALCOHOL' 'BEBIDAS']
783,'en:non-dairy-desserts',['LACTEOS']
784,'en:non-dairy-fermented-foods',['LACTEOS']
785,'en:non-dairy-yogurts',['LACTEOS']
786,'en:noodles',[nan]
787,'en:nougats',[nan]
788,'en:nut-bars',[nan]
789,'en:nut-butters',['LIPIDOS']
790,'en:nut-confectioneries',[nan]
791,'en:nut-flours',[nan]
792,'en:nut-milks',['LACTEOS']
793,'en:nutmeg',[nan]
794,'en:nutmeg-tree-products',[nan]
795,'en:nuts',['LEGUMBRES']
796,'en:nuts-and-their-products',['LEGUMBRES']
797,'en:oat-brans',[nan]
798,'en:oat-flours',[nan]
799,'en:oat-milks',['LACTEOS']
800,'en:offals',[nan]
801,'en:oilseed-purees',['LIPIDOS']
802,'en:old-style-mustards',[nan]
803,'en:olive-oils',['LIPIDOS']
804,'en:olive-tree-products',[nan]
805,'en:olives',['HORTALIZAS']
806,'en:onion-powder',[nan]
807,'en:onions',['HORTALIZAS']
808,'en:onions-and-their-products',['HORTALIZAS']
809,'en:orange-jams',['FRUTAS' 'LIPIDOS']
810,'en:orange-juices',['FRUTAS']
811,'en:orange-soft-drinks',['FRUTAS' 'BEBIDAS']
812,'en:oranges',['FRUTAS']
813,'en:oregano',[nan]
814,'en:palmiers',[nan]
815,'en:pan-de-cadiz',[nan]
816,'en:panettone',[nan]
817,'en:panna-cottas',[nan]
818,'en:paprika',[nan]
819,'en:parboiled-rices',['CEREALES' 'LIPIDOS']
820,'en:parsley',[nan]
821,'en:pasta-dishes',['CEREALES']
822,'en:pasta-salads',['CEREALES' 'HORTALIZAS']
823,'en:pasta-sauces',['CEREALES']
824,'en:pastas',['CEREALES']
825,'en:pasteurized-cheeses',['LACTEOS']
826,'en:pastries',[nan]
827,'en:pate',[nan]
828,'en:peach-jams',['LIPIDOS']
829,'en:peach-juices',[nan]
830,'en:peach-nectars',['FRUTAS']
831,'en:peach-yogurts',['LACTEOS']
832,'en:peaches-in-syrup',['FRUTAS']
833,'en:peanut-bars',[nan]
834,'en:peanut-butters',['LIPIDOS']
835,'en:peanuts',['LEGUMBRES']
836,'en:peanuts-turron',['LEGUMBRES' 'LIPIDOS']
837,'en:pear-juices',[nan]
838,'en:pear-yogurts',['LACTEOS']
839,'en:pears-in-syrup',[nan]
840,'en:pecan-nuts',['LEGUMBRES']
841,'en:peeled-tomatoes',['HORTALIZAS']
842,'en:penne',[nan]
843,'en:penne-rigate',[nan]
844,'en:pennyroyal',[nan]
845,'en:peppercorns',['CEREALES']
846,'en:peppers',['LEGUMBRES']
847,'en:pestos',[nan]
848,'en:pickled-beets',['LIPIDOS']
849,'en:pickled-caper-berries',['FRUTAS']
850,'en:pickled-capers',[nan]
851,'en:pickled-carrots',['HORTALIZAS']
852,'en:pickled-cucumbers',[nan]
853,'en:pickled-garlic',[nan]
854,'en:pickled-green-peppercorns',['CEREALES']
855,'en:pickled-guindilla-peppers',['LEGUMBRES']
856,'en:pickled-lupin-beans',['LEGUMBRES']
857,'en:pickled-onions',['HORTALIZAS']
858,'en:pickled-peppers',['LEGUMBRES']
859,'en:pickles',[nan]
860,'en:pie-dough',[nan]
861,'en:pies',[nan]
862,'en:pine-nuts',['LEGUMBRES']
863,'en:pineapple',['FRUTAS']
864,'en:pineapple-in-juice',['FRUTAS']
865,'en:pineapple-juices',['FRUTAS']
866,'en:pineapple-nectars',['FRUTAS']
867,'en:pineapple-yogurts',['LACTEOS' 'FRUTAS']
868,'en:pinto-beans',['LEGUMBRES']
869,'en:pistachios',[nan]
870,'en:pitted-dates',[nan]
871,'en:pitted-marinated-green-olives',['HORTALIZAS']
872,'en:pitted-olives',['HORTALIZAS']
873,'en:pizza-dough',[nan]
874,'en:pizza-with-ham-and-cheese',['LACTEOS' 'CARNE']
875,'en:pizzas',[nan]
876,'en:pizzas-pies-and-quiches',[nan]
877,'en:plain-bifidus-yogurts',['LACTEOS']
878,'en:plain-soy-yogurts',['LACTEOS']
879,'en:plain-yogurts',['LACTEOS']
880,'en:plant-based-beverages',['BEBIDAS']
881,'en:plant-based-creams',['LACTEOS']
882,'en:plant-based-creams-for-cooking',['LACTEOS']
883,'en:plant-based-foods',[nan]
884,'en:plant-based-foods-and-beverages',['BEBIDAS']
885,'en:plant-based-ice-cream-bars',['LACTEOS']
886,'en:plant-based-ice-cream-tubs',['LACTEOS']
887,'en:plant-based-ice-creams',['LACTEOS']
888,'en:plant-based-meals',[nan]
889,'en:plant-based-mixed-pickles',[nan]
890,'en:plant-based-pates',['CEREALES']
891,'en:plant-based-pickles',[nan]
892,'en:plant-based-spreads',[nan]
893,'en:plant-milks',['LACTEOS']
894,'en:plum-jams',['LIPIDOS']
895,'en:pollens',[nan]
896,'en:popcorn',['CEREALES' 'LEGUMBRES']
897,'en:pork',['CARNE']
898,'en:pork-liver-pates',['CARNE' 'CEREALES']
899,'en:pork-meals',['CARNE']
900,'en:pork-pates',['CARNE' 'CEREALES']
901,'en:pork-ribs',['CARNE']
902,'en:potato-crisps',['CEREALES']
903,'en:potato-crisps-in-olive-oil',['CEREALES' 'LIPIDOS']
904,'en:potato-crisps-in-sunflower-oil',['CEREALES' 'LIPIDOS' 'LEGUMBRES']
905,'en:potatoes',[nan]
906,'en:potted-meats',['CARNE']
907,'en:poultries',[nan]
908,'en:poultry-broth',[nan]
909,'en:poultry-meals',[nan]
910,'en:poultry-nuggets',[nan]
911,'en:poultry-rillettes',[nan]
912,'en:poultry-sausages',['CARNE']
913,'en:pound-cake',[nan]
914,'en:powdered-cappucino',[nan]
915,'en:powdered-saffron',[nan]
916,'en:powdered-sugars',['LIPIDOS']
917,'en:prawns',[nan]
918,'en:pre-baked-breads',['CEREALES']
919,'en:precooked-rices',['CEREALES']
920,'en:prepared-lasagne',[nan]
921,'en:prepared-meats',['CARNE']
922,'en:prepared-salads',['HORTALIZAS']
923,'en:prepared-vegetables',['HORTALIZAS']
924,'en:products-without-gluten',[nan]
925,'en:protein-shakes',[nan]
926,'en:puddings',[nan]
927,'en:puffed-cereal-cakes',['CEREALES']
928,'en:puffed-cereals',['CEREALES']
929,'en:puffed-corn-cakes',['CEREALES']
930,'en:puffed-corn-cakes-with-black-chocolate',['CEREALES' 'LIPIDOS']
931,'en:puffed-grains',[nan]
932,'en:puffed-legumes',['HORTALIZAS']
933,'en:puffed-multigrain-cakes',['CEREALES']
934,'en:puffed-rice-cakes',['CEREALES']
935,'en:puffed-rice-cakes-with-black-chocolate',['CEREALES' 'LIPIDOS']
936,'en:puffed-rice-cakes-with-milk-chocolate',['LACTEOS' 'CEREALES' 'LIPIDOS']
937,'en:puffed-rice-cakes-with-white-chocolate',['CEREALES' 'LIPIDOS']
938,'en:puffed-soybeans',['LEGUMBRES']
939,'en:puffed-wheat-cakes',['CEREALES']
940,'en:puffed-wholegrain-rice-cakes',['CEREALES']
941,'en:pulses',[nan]
942,'en:pumpkin-and-squash-plant-products',['HORTALIZAS']
943,'en:pumpkin-seeds',['LEGUMBRES' 'HORTALIZAS']
944,'en:pumpkin-seeds-and-their-products',['LEGUMBRES' 'HORTALIZAS']
945,'en:quark',[nan]
946,'en:quince-cheeses',['LACTEOS']
947,'en:quinces',[nan]
948,'en:quinoa',[nan]
949,'en:raisins',[nan]
950,'en:ras-el-hanout',[nan]
951,'en:raspberry-sorbets',[nan]
952,'en:raspberry-yogurts',['LACTEOS']
953,'en:ravioli',[nan]
954,'en:red-beans',['LEGUMBRES']
955,'en:red-pestos',[nan]
956,'en:refined-olive-oils',['LIPIDOS']
957,'en:refrigerated-foods',[nan]
958,'en:refrigerated-meals',[nan]
959,'en:refrigerated-soups',['HORTALIZAS']
960,'en:refrigerated-squeezed-juices',[nan]
961,'en:refrigerated-squeezed-multifruit-juices',['FRUTAS']
962,'en:refrigerated-squeezed-pineapple-juices',['FRUTAS']
963,'en:refrigerated-squeezed-tangerine-juices',[nan]
964,'en:refrigerated-vegetable-soups',['HORTALIZAS']
965,'en:rice-dishes',['CEREALES']
966,'en:rice-flours',['CEREALES']
967,'en:rice-milks',['LACTEOS' 'CEREALES']
968,'en:rice-puddings',['CEREALES']
969,'en:rices',['CEREALES']
970,'en:rices-for-paella',['CEREALES']
971,'en:rices-for-risotto',['CEREALES']
972,'en:ricotta',[nan]
973,'en:rillettes',[nan]
974,'en:risottos',[nan]
975,'en:roasted-hazelnuts',['LEGUMBRES']
976,'en:roasted-nuts',['LEGUMBRES']
977,'en:roasted-pistachios',[nan]
978,'en:roasted-pumpkin-seeds',['LEGUMBRES' 'HORTALIZAS']
979,'en:roasted-shelled-pumpkin-seeds',['LEGUMBRES' 'HORTALIZAS']
980,'en:roasted-sunflower-seeds',['LEGUMBRES']
981,'en:roasted-unshelled-pumpkin-seeds',['LEGUMBRES' 'HORTALIZAS']
982,'en:roasted-unshelled-sunflower-seeds',['LEGUMBRES']
983,'en:rooibos',[nan]
984,'en:roquefort-cheeses',['LACTEOS']
985,'en:roquefort-sauces',[nan]
986,'en:rosemary',[nan]
987,'en:rosemary-honeys',['LIPIDOS']
988,'en:rye-breads',['CEREALES']
989,'en:rye-flours',[nan]
990,'en:saccharin',[nan]
991,'en:saffron',[nan]
992,'en:saffron-threads',[nan]
993,'en:sage',[nan]
994,'en:salad-dressings',['HORTALIZAS']
995,'en:salad-rocket',['HORTALIZAS']
996,'en:salads',['HORTALIZAS']
997,'en:salami',[nan]
998,'en:salmon-fillets',['CARNE']
999,'en:salmons',[nan]
1000,'en:salmorejo',[nan]
1001,'en:salted-butters',['LIPIDOS']
1002,'en:salted-margarines',[nan]
1003,'en:salted-popcorn',['CEREALES' 'LEGUMBRES']
1004,'en:salted-spreads',[nan]
1005,'en:salts',[nan]
1006,'en:salty-snacks',[nan]
1007,'en:sandwiches',[nan]
1008,'en:sandwiches-filled-with-cold-cuts',[nan]
1009,'en:sardines',['PESCADO']
1010,'en:sardines-in-oil',['PESCADO' 'LIPIDOS']
1011,'en:sardines-in-olive-oil',['PESCADO' 'LIPIDOS']
1012,'en:sardines-in-sunflower-oil',['PESCADO' 'LIPIDOS' 'LEGUMBRES']
1013,'en:sardines-in-tomato-sauce',['HORTALIZAS' 'PESCADO']
1014,'en:sauces',[nan]
1015,'en:sausages',['CARNE']
1016,'en:sausages-from-spain',['CARNE']
1017,'en:sauteed-black-pudding',[nan]
1018,'en:savory-semolina-dishes',[nan]
1019,'en:scarlet-runner-beans',['LEGUMBRES']
1020,'en:sea-salts',[nan]
1021,'en:seafood',[nan]
1022,'en:seasonings',[nan]
1023,'en:seaweed-products',[nan]
1024,'en:seaweeds-and-their-products',[nan]
1025,'en:seeds',['LEGUMBRES']
1026,'en:seitan',[nan]
1027,'en:semi-skimmed-milks',['LACTEOS']
1028,'en:serrano-ham',['CARNE']
1029,'en:sesame',[nan]
1030,'en:sheep-milks',['LACTEOS' 'CARNE']
1031,'en:sheep-s-milk-cheeses',['LACTEOS' 'CARNE']
1032,'en:shelled-almonds',['LEGUMBRES']
1033,'en:shelled-brazil-nuts',['LEGUMBRES']
1034,'en:shelled-hazelnuts',['LEGUMBRES']
1035,'en:shelled-nuts',['LEGUMBRES']
1036,'en:shelled-pecan-nuts',['LEGUMBRES']
1037,'en:shelled-pine-nuts',['LEGUMBRES']
1038,'en:shelled-pistachios',[nan]
1039,'en:shelled-pumpkin-seeds',['LEGUMBRES' 'HORTALIZAS']
1040,'en:shelled-sunflower-seeds',['LEGUMBRES']
1041,'en:shelled-walnuts',['LEGUMBRES']
1042,'en:short-grain-rices',['CEREALES']
1043,'en:shortbread-cookies',[nan]
1044,'en:shrimps',['PESCADO']
1045,'en:simple-syrups',['LIPIDOS']
1046,'en:skimmed-milks',['LACTEOS']
1047,'en:sliced-breads',['CEREALES']
1048,'en:sliced-breads-with-cereals',['CEREALES']
1049,'en:sliced-champignon-mushrooms',['HORTALIZAS' 'CARNE']
1050,'en:sliced-cheeses',['LACTEOS']
1051,'en:smoked-fishes',['PESCADO']
1052,'en:smoked-salmons',[nan]
1053,'en:smoothies',[nan]
1054,'en:snacks',[nan]
1055,'en:snacks-and-desserts-for-babies',[nan]
1056,'en:soba',[nan]
1057,'en:sodas',[nan]
1058,'en:sodium-cyclamate',[nan]
1059,'en:sorbets',[nan]
1060,'en:soups',['HORTALIZAS']
1061,'en:soy-based-creams-for-cooking',['LACTEOS']
1062,'en:soy-desserts',[nan]
1063,'en:soy-milk-yogurts',['LACTEOS']
1064,'en:soy-milks',['LACTEOS']
1065,'en:soy-sauces',[nan]
1066,'en:spaghetti',[nan]
1067,'en:spanish-bakery-products',['CEREALES']
1068,'en:spanish-cheeses',['LACTEOS']
1069,'en:spanish-meat-products',['CARNE']
1070,'en:spanish-omelettes',[nan]
1071,'en:spearmint',['HORTALIZAS']
1072,'en:special-breads',['CEREALES']
1073,'en:spelt-flakes',[nan]
1074,'en:spelt-milks',['LACTEOS']
1075,'en:spice-mix',[nan]
1076,'en:spices',[nan]
1077,'en:spinachs',['HORTALIZAS']
1078,'en:spreadable-fats',[nan]
1079,'en:spreads',[nan]
1080,'en:spring-rolls',[nan]
1081,'en:sprouted-mung-beans',['LEGUMBRES']
1082,'en:sprouts',[nan]
1083,'en:squeezed-apple-juices',['FRUTAS']
1084,'en:squeezed-juices',[nan]
1085,'en:squeezed-orange-juices',['FRUTAS']
1086,'en:starches',[nan]
1087,'en:stevia-and-their-products',[nan]
1088,'en:stevia-leaves',[nan]
1089,'en:strawberries',['FRUTAS']
1090,'en:strawberry-ice-cream-tubs',['LACTEOS']
1091,'en:strawberry-jams',['LIPIDOS']
1092,'en:strawberry-milks',['LACTEOS']
1093,'en:strawberry-syrups',['LIPIDOS']
1094,'en:strawberry-yogurts',['LACTEOS']
1095,'en:stretched-curd-cheeses',['LACTEOS']
1096,'en:stuffed-olives',['HORTALIZAS']
1097,'en:stuffed-pastas',['CEREALES']
1098,'en:stuffed-wafers',[nan]
1099,'en:sugar-coated-almonds',['LEGUMBRES' 'LIPIDOS']
1100,'en:sugar-coated-pinenuts',['LEGUMBRES' 'LIPIDOS']
1101,'en:sugar-free-chewing-gum',['LIPIDOS']
1102,'en:sugar-substitutes',['LIPIDOS']
1103,'en:sugared-popcorn',['CEREALES' 'LIPIDOS' 'LEGUMBRES']
1104,'en:sugars',['LIPIDOS']
1105,'en:sultana-raisins',[nan]
1106,'en:sunflower-oil-mayonnaises',['LIPIDOS' 'LEGUMBRES']
1107,'en:sunflower-oils',['LIPIDOS' 'LEGUMBRES']
1108,'en:sunflower-seeds',['LEGUMBRES']
1109,'en:sunflower-seeds-and-their-products',['LEGUMBRES']
1110,'en:sushi-rice',['CEREALES']
1111,'en:sweet-and-sour-sauces',['LIPIDOS']
1112,'en:sweet-corn',['CEREALES' 'LIPIDOS']
1113,'en:sweet-cream-butters',['LACTEOS' 'LIPIDOS']
1114,'en:sweet-mustards',['LIPIDOS']
1115,'en:sweet-peppers',['LEGUMBRES' 'LIPIDOS']
1116,'en:sweet-potato-crisps',['LIPIDOS' 'CEREALES']
1117,'en:sweet-potatoes',['LIPIDOS']
1118,'en:sweet-snacks',['LIPIDOS']
1119,'en:sweet-spreads',['LIPIDOS']
1120,'en:sweetened-beverages',['LIPIDOS' 'BEBIDAS']
1121,'en:sweetened-natural-soy-milks',['LACTEOS' 'LIPIDOS']
1122,'en:sweetened-yogurts',['LACTEOS' 'LIPIDOS']
1123,'en:sweeteners',['LIPIDOS']
1124,'en:syrups',['LIPIDOS']
1125,'en:tabbouleh',[nan]
1126,'en:table-salts',[nan]
1127,'en:tabletop-sweeteners',['LIPIDOS']
1128,'en:tagliatelle',[nan]
1129,'en:tangerine-juices',[nan]
1130,'en:tea-bags',['BEBIDAS']
1131,'en:tea-based-beverages',['BEBIDAS']
1132,'en:teas',['BEBIDAS']
1133,'en:teriyaki-sauces',[nan]
1134,'en:textured-vegetable-protein',['HORTALIZAS']
1135,'en:thickeners',[nan]
1136,'en:thyme',[nan]
1137,'en:thyme-tea-bags',['BEBIDAS']
1138,'en:tigernut-milks',['LACTEOS']
1139,'en:tinned-mackerels',[nan]
1140,'en:tiramisu',[nan]
1141,'en:toasted-bread-rolls',[nan]
1142,'en:toasted-egg-yolk-turron',['LIPIDOS' 'CARNE']
1143,'en:toasted-sesame',[nan]
1144,'en:toasts',[nan]
1145,'en:tofu',[nan]
1146,'en:tomato-jams',['HORTALIZAS' 'LIPIDOS']
1147,'en:tomato-juices',['HORTALIZAS']
1148,'en:tomato-pastes',['HORTALIZAS']
1149,'en:tomato-purees',['HORTALIZAS']
1150,'en:tomato-sauces',['HORTALIZAS']
1151,'en:tomatoes',['HORTALIZAS']
1152,'en:tomatoes-and-their-products',['HORTALIZAS']
1153,'en:tonic-water',[nan]
1154,'en:torrefacto-coffees',['BEBIDAS']
1155,'en:tripe-dishes',[nan]
1156,'en:tropical-fruits',['FRUTAS']
1157,'en:tropical-fruits-soy-yogurts',['LACTEOS' 'FRUTAS']
1158,'en:tuna-fillets',['CARNE']
1159,'en:tuna-in-brine',[nan]
1160,'en:tuna-in-olive-oil',['LIPIDOS']
1161,'en:tunas',['PESCADO']
1162,'en:tunas-in-oil',['PESCADO' 'LIPIDOS']
1163,'en:tunas-in-sunflower-oil',['PESCADO' 'LIPIDOS' 'LEGUMBRES']
1164,'en:turkey-sausages',['CARNE']
1165,'en:turkeys',[nan]
1166,'en:turmeric',[nan]
1167,'en:turmeric-powder',[nan]
1168,'en:turron',['LIPIDOS']
1169,'en:uht-creams',['LACTEOS']
1170,'en:uht-milks',['LACTEOS']
1171,'en:unshelled-peanuts',['LEGUMBRES']
1172,'en:unshelled-pumpkin-seeds',['LEGUMBRES' 'HORTALIZAS']
1173,'en:unshelled-sunflower-seeds',['LEGUMBRES']
1174,'en:unsweetened-beverages',['LIPIDOS' 'BEBIDAS']
1175,'en:unsweetened-natural-soy-milks',['LACTEOS' 'LIPIDOS']
1176,'en:valerian',[nan]
1177,'en:vanilla',['LACTEOS']
1178,'en:vanilla-ice-cream-bars',['LACTEOS']
1179,'en:vanilla-ice-cream-tubs',['LACTEOS']
1180,'en:vanilla-milks',['LACTEOS']
1181,'en:vanilla-pods',['LACTEOS']
1182,'en:vanilla-soy-desserts',['LACTEOS']
1183,'en:vanilla-soy-milks',['LACTEOS']
1184,'en:vanilla-sugars',['LACTEOS' 'LIPIDOS']
1185,'en:vanilla-yogurt',['LACTEOS']
1186,'en:vegetable-based-beverages',['HORTALIZAS' 'BEBIDAS']
1187,'en:vegetable-based-foods-and-beverages',['HORTALIZAS' 'BEBIDAS']
1188,'en:vegetable-bouillon-cubes',['HORTALIZAS']
1189,'en:vegetable-broths',['HORTALIZAS']
1190,'en:vegetable-fats',['HORTALIZAS']
1191,'en:vegetable-juices',['HORTALIZAS']
1192,'en:vegetable-lasagne',['HORTALIZAS']
1193,'en:vegetable-oils',['HORTALIZAS' 'LIPIDOS']
1194,'en:vegetable-pickles',['HORTALIZAS']
1195,'en:vegetable-rods',['HORTALIZAS']
1196,'en:vegetable-soups',['HORTALIZAS']
1197,'en:vegetables-based-foods',['HORTALIZAS']
1198,'en:vegetarian-lasagne',[nan]
1199,'en:vegetarian-olive-pates',['CEREALES']
1200,'en:vegetarian-sausages',['CARNE']
1201,'en:veggie-patties',['CARNE']
1202,'en:viennoiseries',[nan]
1203,'en:vinaigrettes',[nan]
1204,'en:vinegars',[nan]
1205,'en:virgin-olive-oils',['LIPIDOS']
1206,'en:wafers',[nan]
1207,'en:walnuts',['LEGUMBRES']
1208,'en:wavy-potato-crisps',['CEREALES']
1209,'en:wheat-brans',['CEREALES']
