,mini,mega_cat
0,bg:dairy-products,['LACTEOS']
1,cs:sugar-snacks,['LIPIDOS']
2,cs:sweet-bar,['LIPIDOS']
3,da:beers-from-denmark,['ALCOHOL' 'LIPIDOS']
4,de:braeburn-apples,['FRUTAS']
5,de:brotchips,['CEREALES']
6,de:butterschmalz,['LIPIDOS']
7,de:cerealien,['CEREALES']
8,de:citronat,['FRUTAS']
9,de:citronensäure,['FRUTAS']
10,de:fruit-sauces,['FRUTAS']
11,de:halsbonbons,['LIPIDOS']
12,de:hustenbonbons,['LIPIDOS']
13,de:joghurtdrink,['BEBIDAS']
14,de:kaubonbons,['LIPIDOS']
15,de:kaubonbonstreifen,['LIPIDOS']
16,de:kesselchips,['CEREALES']
17,de:kräuterbonbons,['LIPIDOS']
18,de:milchdrink,['BEBIDAS']
19,de:nuss-nougat-creme,['LACTEOS']
20,de:rote-johannisbeeren,['ALCOHOL' 'LIPIDOS']
21,de:schokocreme,['LACTEOS']
22,de:schokoladencreme,['LACTEOS']
23,de:shampoo,['CARNE']
24,de:shelled-peanuts,['LEGUMBRES']
25,de:softdrinks,['BEBIDAS']
26,de:sojafleisch,['HORTALIZAS']
27,de:streichcreme,['LACTEOS']
28,de:tomatenketchup,['HORTALIZAS']
29,de:tomatensauce,['HORTALIZAS']
30,de:tomato-ketchup,['HORTALIZAS']
31,de:vanilleeis,['FRUTAS']
32,en:10-red-wine,['ALCOHOL']
33,en:11-dry-white-wine,['ALCOHOL']
34,en:11-rose-wine,['ALCOHOL']
35,en:12-red-wine,['ALCOHOL']
36,en:13-red-wine,['ALCOHOL']
37,en:3-cheese-pizza,['LACTEOS']
38,en:30-40-lightly-salted-blended-fat-with-vegetable-and-animal-origins,['HORTALIZAS' 'CEREALES']
39,en:5-beer,['ALCOHOL' 'LIPIDOS']
40,en:50-63-lightly-salted-blended-fat-with-vegetable-and-animal-origins,['HORTALIZAS' 'CEREALES']
41,en:70-unsalted-vegetable-fat-margarine-type,['HORTALIZAS' 'CEREALES']
42,en:abbaye-cheeses,['LACTEOS']
43,en:abbey-beer,['ALCOHOL' 'LIPIDOS']
44,en:acacia-honeys,['LIPIDOS']
45,en:acacia-honeys-from-alsace,['LIPIDOS']
46,en:acacia-honeys-from-jura,['LIPIDOS']
47,en:acidic-apples,['FRUTAS']
48,en:agave-syrups,['LIPIDOS']
49,en:alaska-pollock,['CARNE']
50,en:alcohol-vinegars,['ALCOHOL']
51,en:alcoholic-beverages,['ALCOHOL' 'BEBIDAS']
52,en:alimentos-y-bebidas-de-origen-vegetal,['BEBIDAS']
53,en:aliments-a-base-de-fruits-et-de-legumes,['FRUTAS' 'HORTALIZAS']
54,en:aliments-et-boissons-a-base-de-vegetaux,['BEBIDAS']
55,en:aliments-et-boissons-a-base-de-vegetaux-aliments-d-origine-vegetale-snacks-cereales-et-pommes-de-terre-snacks-sales-aperitif-chips-et-frites-chips-chips-de-pommes-de-terre-chips-de-pommes-de-terre-aromatisees-chips-au-paprika,['CEREALES' 'FRUTAS' 'BEBIDAS']
56,en:almond-based-creams-for-cooking,['LACTEOS']
57,en:almond-butters,['LIPIDOS']
58,en:almond-cakes,['CEREALES']
59,en:almond-creme-filled-wafers,['LACTEOS']
60,en:almond-milk-yogurts,['LACTEOS']
61,en:almond-milks,['LACTEOS']
62,en:almond-oils,['LIPIDOS']
63,en:almond-turron,['LIPIDOS']
64,en:almonds,['LEGUMBRES']
65,en:almonds-spreads,['LEGUMBRES']
66,en:aloe-vera-drinks,['BEBIDAS']
67,en:amber-beers,['ALCOHOL' 'LIPIDOS']
68,en:amber-maple-syrups,['LIPIDOS']
69,en:american-beers,['ALCOHOL' 'LIPIDOS']
70,en:american-whiskeys,['ALCOHOL']
71,en:anchovy-fillets,['CARNE']
72,en:anchovy-fillets-marinated-in-garlic-and-parsley,['CARNE']
73,en:anise-syrups,['LIPIDOS']
74,en:aoc-cheeses,['LACTEOS']
75,en:appenzeller-cheese,['LACTEOS']
76,en:apple-cereal-bars,['FRUTAS' 'CEREALES']
77,en:apple-chutneys,['FRUTAS']
78,en:apple-compotes,['FRUTAS']
79,en:apple-crumbles,['FRUTAS' 'CEREALES']
80,en:apple-jams,['FRUTAS' 'LIPIDOS']
81,en:apple-juice-and-soy-drinks,['FRUTAS' 'BEBIDAS']
82,en:apple-juice-from-concentrate,['FRUTAS']
83,en:apple-juices,['FRUTAS']
84,en:apple-nectars,['FRUTAS']
85,en:apple-pastes,['FRUTAS']
86,en:apple-pear-juice,['FRUTAS']
87,en:apple-pies,['FRUTAS']
88,en:apple-soft-drinks,['FRUTAS' 'BEBIDAS']
89,en:apple-sorbets,['FRUTAS']
90,en:apple-syrups,['FRUTAS' 'LIPIDOS']
91,en:apple-turnovers,['FRUTAS']
92,en:apple-yogurts,['LACTEOS' 'FRUTAS']
93,en:apples,['FRUTAS']
94,en:apples-jellies,['FRUTAS']
95,en:applesauces,['FRUTAS']
96,en:apricot-cereal-bars,['CEREALES']
97,en:apricot-jams,['LIPIDOS']
98,en:apricot-nectars,['FRUTAS']
99,en:apricot-soy-yogurts,['LACTEOS']
100,en:apricot-yogurts,['LACTEOS']
101,en:arabica-coffee-beans,['LEGUMBRES' 'BEBIDAS']
102,en:arabica-coffees,['BEBIDAS']
103,en:arabica-ground-coffees,['BEBIDAS']
104,en:arborio-rices,['CEREALES']
105,en:argan-oils,['LIPIDOS']
106,en:aromatic-rices,['CEREALES']
107,en:aromatisierte-kartoffelchips,['CEREALES']
108,en:artichokes,['HORTALIZAS']
109,en:artificial-sugar-substitutes,['LIPIDOS']
110,en:artificially-sweetened-beverages,['LIPIDOS' 'BEBIDAS']
111,en:artificially-sweetened-sorbets,['LIPIDOS']
112,en:artisan-cheeses,['LACTEOS']
113,en:artisan-jams,['LIPIDOS']
114,en:asian-vegetables,['HORTALIZAS' 'CEREALES']
115,en:asparagus,['HORTALIZAS']
116,en:asparagus-soups,['HORTALIZAS']
117,en:aspartame-sweetener-in-tablets,['LIPIDOS' 'CEREALES']
118,en:assorted-biscuits,['CEREALES']
119,en:assorted-chocolate-candies,['LIPIDOS']
120,en:assorted-chocolates,['LIPIDOS']
121,en:assorted-jams,['LIPIDOS']
122,en:assortiments-de-bonbons-de-chocolat,['LIPIDOS']
123,en:assortments-of-biscuits,['CEREALES']
124,en:atlantic-bluefin-tunas,['PESCADO']
125,en:attested-milks,['LACTEOS']
126,en:aubergines,['HORTALIZAS']
127,en:australian-red-wine,['ALCOHOL']
128,en:austrian-oils-and-fats,['LIPIDOS']
129,en:auvergne-blue-cheese-from-cow-s-milk,['LACTEOS']
130,en:avena,['CEREALES']
131,en:avocado-oils,['LIPIDOS']
132,en:axoa-de-thon,['PESCADO']
133,en:azuki-beans,['LEGUMBRES']
134,en:baby-dairy-desserts,['LACTEOS' 'LIPIDOS']
135,en:baby-drinks,['BEBIDAS']
136,en:baby-follow-on-milk-from-5-months,['LACTEOS']
137,en:baby-fruit-desserts,['FRUTAS' 'LIPIDOS']
138,en:baby-milks,['LACTEOS']
139,en:baby-start-milk-from-10-months,['LACTEOS']
140,en:bacon-cheeseburgers,['LACTEOS']
141,en:bagel-breads,['CEREALES']
142,en:baked-beans-in-tomato-sauce,['LEGUMBRES' 'HORTALIZAS']
143,en:baked-milk,['LACTEOS']
144,en:bakery,['CEREALES']
145,en:bakery-products,['CEREALES']
146,en:balilla-x-sollana-rices,['CEREALES']
147,en:balsamic-vinaigrette,['ALCOHOL']
148,en:balsamic-vinegars,['ALCOHOL']
149,en:balsamic-vinegars-of-modena,['ALCOHOL']
150,en:banana-cereal-bars,['FRUTAS' 'CEREALES']
151,en:banana-chips,['FRUTAS' 'CEREALES']
152,en:banana-jams,['FRUTAS' 'LIPIDOS']
153,en:banana-muffins,['FRUTAS']
154,en:banana-nectars,['FRUTAS']
155,en:banana-nut-loaf,['FRUTAS']
156,en:banana-soy-yogurts,['LACTEOS' 'FRUTAS']
157,en:banana-yogurts,['LACTEOS' 'FRUTAS']
158,en:bananas,['FRUTAS']
159,en:bancha-teas,['BEBIDAS']
160,en:barbecue-crisps,['CEREALES']
161,en:barley-milks,['LACTEOS']
162,en:barn-chicken-eggs,['CARNE']
163,en:barres-chocolatees,['LIPIDOS']
164,en:basa-fish,['PESCADO']
165,en:basil-seed-drinks,['BEBIDAS']
166,en:basmati-rices,['CEREALES']
167,en:basque-cake-with-cherries,['FRUTAS']
168,en:batonnets-glaces,['LACTEOS']
169,en:bavarian-beers,['ALCOHOL' 'LIPIDOS']
170,en:bayonne-ham,['CARNE']
171,en:beans,['LEGUMBRES']
172,en:bebidas,['BEBIDAS']
173,en:bechamel-sauces,['CARNE']
174,en:bee-products,['LIPIDOS']
175,en:beef,['LIPIDOS' 'CARNE']
176,en:beef-broth,['LIPIDOS' 'CARNE']
177,en:beef-burgers,['LIPIDOS' 'CARNE']
178,en:beef-carpaccio,['LIPIDOS' 'CARNE']
179,en:beef-cheek,['LIPIDOS' 'CARNE']
180,en:beef-dishes,['LIPIDOS' 'CARNE']
181,en:beef-hanger-steak,['CARNE' 'BEBIDAS' 'LIPIDOS']
182,en:beef-jerkies,['LIPIDOS' 'CARNE']
183,en:beef-lasagne,['LIPIDOS' 'CARNE']
184,en:beef-meat-balls,['CARNE' 'LIPIDOS']
185,en:beef-merguez,['LIPIDOS' 'CARNE']
186,en:beef-mince,['LIPIDOS' 'CARNE']
187,en:beef-pasta,['CEREALES' 'LIPIDOS' 'CARNE']
188,en:beef-pastrami,['LIPIDOS' 'CARNE']
189,en:beef-pies,['LIPIDOS' 'CARNE']
190,en:beef-preparations,['LIPIDOS' 'CARNE']
191,en:beef-ravioli,['LIPIDOS' 'CEREALES' 'CARNE']
192,en:beef-rib-steak,['CARNE' 'BEBIDAS' 'LIPIDOS']
193,en:beef-rillettes,['LIPIDOS' 'CARNE']
194,en:beef-salami,['LIPIDOS' 'CARNE']
195,en:beef-samosas,['LIPIDOS' 'CARNE']
196,en:beef-skewers,['LIPIDOS' 'CARNE']
197,en:beef-steaks,['CARNE' 'BEBIDAS' 'LIPIDOS']
198,en:beef-stews,['LIPIDOS' 'CARNE']
199,en:beef-tajine,['LIPIDOS' 'CARNE']
200,en:beef-tongues,['LIPIDOS' 'CARNE']
201,en:beef-tongues-with-madeira-sauce,['LIPIDOS' 'CARNE']
202,en:beenleigh-blue-cheese,['LACTEOS' 'LIPIDOS']
203,en:beers,['ALCOHOL' 'LIPIDOS']
204,en:beers-from-czech-republic,['ALCOHOL' 'LIPIDOS']
205,en:beers-from-germany,['ALCOHOL' 'LIPIDOS']
206,en:beers-from-ireland,['ALCOHOL' 'LIPIDOS']
207,en:beers-from-united-kingdom,['ALCOHOL' 'LIPIDOS']
208,en:beers-with-chestnut,['ALCOHOL' 'LIPIDOS']
209,en:beers-with-fruits,['FRUTAS' 'ALCOHOL' 'LIPIDOS']
210,en:beers-without-gluten,['ALCOHOL' 'LIPIDOS']
211,en:beet,['LIPIDOS']
212,en:beetroot,['LIPIDOS']
213,en:beetroot-juices,['LIPIDOS']
214,en:beets-salads,['HORTALIZAS' 'LIPIDOS']
215,en:belgian-beers,['ALCOHOL' 'LIPIDOS']
216,en:belgian-chocolate,['LIPIDOS']
217,en:belgian-meat-products,['CARNE']
218,en:bell-peppers,['LEGUMBRES']
219,en:bergamot-flavored-black-teas,['BEBIDAS']
220,en:berries,['FRUTAS']
221,en:berries-soy-yogurts,['LACTEOS' 'FRUTAS']
222,en:berry-jams,['LIPIDOS']
223,en:beurres,['LIPIDOS']
224,en:beverages,['BEBIDAS']
225,en:beverages-with-cranberry,['BEBIDAS']
226,en:beverages-with-orange,['FRUTAS' 'BEBIDAS']
227,en:bifidus-yogurts,['LACTEOS']
228,en:bigarade-orange-marmelades,['FRUTAS']
229,en:bilberries-jams,['LIPIDOS' 'FRUTAS']
230,en:biscuit-cookie-snack-w-chocolate-filling,['LIPIDOS']
231,en:biscuit-cookie-with-chocolate-prepacked,['LIPIDOS']
232,en:biscuit-filled-with-fruit-paste,['FRUTAS']
233,en:biscuit-shortbread-with-chocolate-pre-packed,['LIPIDOS']
234,en:biscuit-small-tart-with-chocolate-pre-packed,['LIPIDOS']
235,en:biscuit-snack-with-chocolate-filling,['LIPIDOS']
236,en:biscuit-with-fruit-covering,['FRUTAS']
237,en:biscuits,['CEREALES']
238,en:biscuits-and-cakes,['CEREALES']
239,en:biscuits-aperitifs,['CEREALES']
240,en:biscuits-au-chocolat,['CEREALES' 'LIPIDOS']
241,en:biscuits-et-gateaux,['CEREALES' 'BEBIDAS' 'LIPIDOS']
242,en:biscuits-for-babies,['CEREALES']
243,en:biscuits-sables,['CEREALES']
244,en:bison-terrines,['CARNE']
245,en:black-beans,['LEGUMBRES']
246,en:black-beers,['ALCOHOL' 'LIPIDOS']
247,en:black-chopped-olives,['HORTALIZAS']
248,en:black-forest-gateau,['BEBIDAS']
249,en:black-lentils,['LEGUMBRES']
250,en:black-olives,['HORTALIZAS']
251,en:black-olives-in-brine,['HORTALIZAS']
252,en:black-olives-in-oil,['HORTALIZAS' 'LIPIDOS']
253,en:black-peppercorns,['CEREALES']
254,en:black-peppers,['LEGUMBRES']
255,en:black-pitted-olives,['HORTALIZAS']
256,en:black-pudding-with-onions,['HORTALIZAS']
257,en:black-rice,['CEREALES']
258,en:black-rice-vinegars,['CEREALES' 'ALCOHOL']
259,en:black-teas,['BEBIDAS']
260,en:black-truffle-oil,['LIPIDOS']
261,en:black-vinegars,['ALCOHOL']
262,en:blackberries,['FRUTAS']
263,en:blackberry-jams,['LIPIDOS']
264,en:blackberry-yogurts,['LACTEOS']
265,en:blackcurrant-jams,['LIPIDOS']
266,en:blackcurrant-syrups,['LIPIDOS']
267,en:blanched-roasted-hazelnuts,['LEGUMBRES']
268,en:blend-of-olive-oils,['LIPIDOS' 'CEREALES' 'HORTALIZAS']
269,en:blended-scotch-whisky,['CEREALES']
270,en:blended-whisky,['CEREALES']
271,en:blends-of-honey-and-propolis,['CEREALES']
272,en:blonde-lentils,['LEGUMBRES']
273,en:blood-orange-juices,['FRUTAS']
274,en:blood-sausage-terrines,['CARNE']
275,en:blue-veined-cheeses,['LACTEOS']
276,en:blueberries,['FRUTAS']
277,en:blueberry-applesauces,['FRUTAS']
278,en:blueberry-jams,['LIPIDOS']
279,en:blueberry-nectars,['FRUTAS']
280,en:blueberry-soy-yogurts,['LACTEOS']
281,en:blueberry-syrups,['LIPIDOS']
282,en:blueberry-yogurts,['LACTEOS']
283,en:boar-terrines,['CARNE']
284,en:boeufs-bourguignons,['CARNE']
285,en:boiled-eggs,['CARNE' 'LIPIDOS']
286,en:boiled-meat-with-vegetables,['CARNE' 'HORTALIZAS' 'LIPIDOS' 'CEREALES']
287,en:boissons,['BEBIDAS']
288,en:boissons-a-base-de-vegetaux,['BEBIDAS']
289,en:boissons-aux-fruits,['FRUTAS' 'BEBIDAS']
290,en:boissons-avec-sucre-ajoute,['BEBIDAS' 'LIPIDOS']
291,en:boissons-boissons-avec-sucre-ajoute,['BEBIDAS' 'LIPIDOS']
292,en:boissons-chaudes,['BEBIDAS']
293,en:boissons-edulcorees,['BEBIDAS']
294,en:boissons-energisantes,['BEBIDAS']
295,en:boissons-fermentees,['BEBIDAS']
296,en:boissons-gazeuses,['BEBIDAS']
297,en:boissons-instantanees,['BEBIDAS']
298,en:boissons-lactees,['BEBIDAS']
299,en:boissons-lactees-fermentees,['BEBIDAS']
300,en:boissons-sans-alcool,['BEBIDAS' 'ALCOHOL']
301,en:boissons-sans-sucre-ajoute,['BEBIDAS' 'LIPIDOS']
302,en:bolognaise-pasta,['CEREALES']
303,en:bolognese-crisps,['CEREALES']
304,en:bolognese-pasta,['CEREALES']
305,en:bolognese-raviolis,['CEREALES']
306,en:bolognese-style-pasta,['CEREALES']
307,en:bolognese-style-pasta-spaghetti-tagliatelle,['CEREALES']
308,en:bomba-rices,['CEREALES']
309,en:bonbons,['LIPIDOS']
310,en:bonbons-de-chocolat,['LIPIDOS']
311,en:bonbons-drageifies,['LIPIDOS']
312,en:bonbons-gelifies,['LIPIDOS']
313,en:borage-seed-oils,['LIPIDOS']
314,en:bordeaux,['ALCOHOL']
315,en:bottled-water-flavoured-without-sugar-or-artificial-sweeteners,['LIPIDOS']
316,en:bourbon-whiskeys,['ALCOHOL']
317,en:braised-hams,['CARNE']
318,en:braised-pork-spare-ribs,['CARNE']
319,en:brazil-nuts,['LEGUMBRES']
320,en:bread-white-from-wheat-flour-of-the-highest-grade-gost-26987-86,['CEREALES' 'BEBIDAS']
321,en:breaded-cheeses,['LACTEOS']
322,en:breaded-chicken,['CARNE']
323,en:breaded-chicken-cutlets,['CARNE']
324,en:breaded-cod-fish,['PESCADO']
325,en:breaded-fish,['PESCADO']
326,en:breaded-hake-fish,['PESCADO']
327,en:breads,['CEREALES']
328,en:breads-filled-with-custard,['CEREALES']
329,en:breads-with-raisins,['CEREALES' 'FRUTAS']
330,en:breadsticks,['CEREALES']
331,en:breakfast-cereals,['CEREALES']
332,en:breakfast-cereals-diet-plain-or-with-honey-fortified-with-vitamins-and-chemical-elements,['CEREALES']
333,en:breakfast-cereals-fortified-with-vitamins-and-chemical-elements,['CEREALES']
334,en:breakfast-chocolate-cereals-not-filled,['CEREALES' 'LIPIDOS']
335,en:breakfast-chocolate-cereals-with-wheat-grain-flakes,['CEREALES' 'LIPIDOS']
336,en:breton-cakes,['CEREALES']
337,en:brewed-black-tea-without-sugar,['LIPIDOS' 'BEBIDAS']
338,en:brewed-green-tea-without-sugar,['LIPIDOS' 'BEBIDAS']
339,en:brewed-infusions-without-sugar,['LIPIDOS']
340,en:brie-cheese,['LACTEOS']
341,en:brie-de-meaux-cheeses,['LACTEOS']
342,en:brined-cheeses,['LACTEOS']
343,en:brioche-filled-with-chocolate,['LIPIDOS']
344,en:brioche-filled-with-chocolate-drops,['LIPIDOS']
345,en:brioches,['CEREALES']
346,en:brittany-beers,['ALCOHOL' 'LIPIDOS']
347,en:broad-beans,['LEGUMBRES']
348,en:broccoli,['HORTALIZAS']
349,en:brown-basmati-rices,['CEREALES']
350,en:brown-breads,['CEREALES']
351,en:brown-flax-seeds,['LEGUMBRES']
352,en:brown-jasmine-rices,['CEREALES']
353,en:brown-lentils,['LEGUMBRES']
354,en:brown-onions,['HORTALIZAS']
355,en:brown-rices,['CEREALES']
356,en:brown-shrimp,['PESCADO']
357,en:brown-sugars,['LIPIDOS']
358,en:buckwheat,['CEREALES']
359,en:buckwheat-crepe-with-mushrooms,['HORTALIZAS' 'CEREALES']
360,en:buckwheat-flakes,['CEREALES']
361,en:buckwheat-flours,['CEREALES']
362,en:buckwheat-groats,['CEREALES']
363,en:buckwheat-milks,['LACTEOS' 'CEREALES']
364,en:buckwheat-pasta,['CEREALES']
365,en:buffalo-cheeses,['LACTEOS']
366,en:buffalo-s-milk-cheese,['LACTEOS']
367,en:bulgarian-beers,['ALCOHOL' 'LIPIDOS']
368,en:burgundy-wines,['ALCOHOL']
369,en:butter-beans,['LEGUMBRES']
370,en:butter-biscuit-with-chocolate,['LIPIDOS']
371,en:butter-chicken,['CARNE']
372,en:buttermilk-quark,['LACTEOS']
373,en:buttermilks,['LACTEOS']
374,en:butters,['LIPIDOS']
375,en:cacahuetes-au-chocolat,['LIPIDOS' 'LEGUMBRES']
376,en:caesar-salads,['HORTALIZAS']
377,en:cafe-para-llevar,['BEBIDAS']
378,en:cafes,['BEBIDAS']
379,en:cafes-solubles,['CEREALES' 'BEBIDAS']
380,en:cage-chicken-eggs,['CARNE']
381,en:cakes,['CEREALES']
382,en:camargue-rices,['CEREALES']
383,en:camemberts-from-microfiltered-milk,['LACTEOS']
384,en:camemberts-from-raw-milk,['LACTEOS']
385,en:camemberts-from-thermized-milk,['LACTEOS' 'BEBIDAS']
386,en:canadian-whiskeys,['ALCOHOL']
387,en:canary-grass-milks,['LACTEOS']
388,en:cancoillottes,['LIPIDOS']
389,en:candied-fruits,['FRUTAS']
390,en:candied-lemon,['FRUTAS']
391,en:cane-sugar,['LIPIDOS']
392,en:canela-beans,['LEGUMBRES']
393,en:canned-albacore-in-olive-oil,['LIPIDOS' 'HORTALIZAS']
394,en:canned-artichokes,['HORTALIZAS']
395,en:canned-asian-vegetables,['HORTALIZAS' 'CEREALES']
396,en:canned-asparagus,['HORTALIZAS']
397,en:canned-beet,['LIPIDOS']
398,en:canned-black-beans,['LEGUMBRES']
399,en:canned-bloody-milk-cap,['LACTEOS']
400,en:canned-broad-beans,['LEGUMBRES']
401,en:canned-butter-beans,['LEGUMBRES']
402,en:canned-carrots,['HORTALIZAS']
403,en:canned-cereals,['CEREALES']
404,en:canned-champignon-mushrooms,['HORTALIZAS' 'CARNE']
405,en:canned-cheeses,['LACTEOS']
406,en:canned-chickpeas,['LEGUMBRES']
407,en:canned-common-beans,['LEGUMBRES']
408,en:canned-corn,['CEREALES']
409,en:canned-custard-desserts,['LIPIDOS']
410,en:canned-diced-mixed-vegetables,['HORTALIZAS' 'CEREALES']
411,en:canned-double-concentrate-tomato-paste,['HORTALIZAS' 'CEREALES']
412,en:canned-drained-albacore-in-olive-oil,['LIPIDOS' 'HORTALIZAS']
413,en:canned-drained-diced-mixed-vegetables,['HORTALIZAS' 'CEREALES']
414,en:canned-fishes,['PESCADO']
415,en:canned-flageolet-beans,['LEGUMBRES']
416,en:canned-flat-green-beans,['LEGUMBRES']
417,en:canned-fruit-cocktail-in-light-syrup,['FRUTAS']
418,en:canned-fruits,['FRUTAS']
419,en:canned-fruits-in-juice,['FRUTAS']
420,en:canned-green-asparagus,['HORTALIZAS']
421,en:canned-green-beans,['LEGUMBRES']
422,en:canned-haricot-beans,['LEGUMBRES']
423,en:canned-kidney-common-beans,['LEGUMBRES']
424,en:canned-legumes,['HORTALIZAS']
425,en:canned-lentils,['LEGUMBRES']
426,en:canned-meats,['CARNE']
427,en:canned-mixed-fruit-in-syrup,['FRUTAS']
428,en:canned-mixed-mushrooms,['HORTALIZAS']
429,en:canned-mushrooms,['HORTALIZAS']
430,en:canned-nuts,['LEGUMBRES']
431,en:canned-oyster-mushrooms,['HORTALIZAS']
432,en:canned-peaches,['FRUTAS']
433,en:canned-peas-and-carrots,['HORTALIZAS']
434,en:canned-peppers,['LEGUMBRES']
435,en:canned-pineapples,['FRUTAS']
436,en:canned-porcini-mushrooms,['HORTALIZAS' 'CARNE']
437,en:canned-precooked-meat,['CARNE']
438,en:canned-prepared-drained-mixed-tuna-and-vegetable-salad,['HORTALIZAS' 'CEREALES']
439,en:canned-prepared-salads,['HORTALIZAS']
440,en:canned-quartered-champignon-mushrooms,['HORTALIZAS' 'CARNE']
441,en:canned-raviolis,['CEREALES']
442,en:canned-raviolis-filled-with-meat-in-tomato-sauce,['CARNE' 'HORTALIZAS' 'CEREALES']
443,en:canned-red-kidney-beans,['LEGUMBRES']
444,en:canned-red-peppers,['LEGUMBRES']
445,en:canned-sardines,['PESCADO']
446,en:canned-scarlet-runner-beans,['LEGUMBRES']
447,en:canned-shiitake-mushrooms,['HORTALIZAS']
448,en:canned-sliced-champignon-mushrooms,['HORTALIZAS' 'CARNE']
449,en:canned-soups,['HORTALIZAS']
450,en:canned-spinachs,['HORTALIZAS']
451,en:canned-sweet-corn,['CEREALES' 'LIPIDOS']
452,en:canned-tomato-puree,['HORTALIZAS']
453,en:canned-tomatoes,['HORTALIZAS']
454,en:canned-tunas,['PESCADO']
455,en:canned-vanilla-custard-dessert,['LACTEOS' 'LIPIDOS']
456,en:canned-vegetable-soups,['HORTALIZAS' 'CEREALES']
457,en:canned-vegetables,['HORTALIZAS' 'CEREALES']
458,en:canned-white-asparagus,['HORTALIZAS']
459,en:canned-white-common-beans,['LEGUMBRES']
460,en:canned-whole-champignon-mushrooms,['HORTALIZAS' 'CARNE']
461,en:cannellini-beans,['LEGUMBRES']
462,en:cannelloni-with-cooked-vegetables-and-goat-cheese,['LACTEOS' 'HORTALIZAS' 'CEREALES']
463,en:cannelloni-with-ricotta-and-spinach,['LACTEOS']
464,en:canola-oils,['LIPIDOS']
465,en:capers-pickled-in-vinegar,['ALCOHOL']
466,en:caramel-cheesecakes,['LACTEOS' 'CEREALES' 'LIPIDOS']
467,en:caramel-chocolate-bars,['LIPIDOS']
468,en:caramel-chocolate-cookie-bars,['LIPIDOS']
469,en:caramel-chocolates,['LIPIDOS']
470,en:caramel-custard-dessert,['LIPIDOS']
471,en:caramel-pork,['CARNE' 'LIPIDOS']
472,en:caramel-soy-desserts,['LIPIDOS']
473,en:caramel-spreads,['LIPIDOS']
474,en:caramel-stuffed-wafers,['LIPIDOS']
475,en:caramel-yogurts,['LACTEOS' 'LIPIDOS']
476,en:caramelized-almonds,['LEGUMBRES' 'LIPIDOS']
477,en:caramelized-hazelnuts,['LEGUMBRES' 'LIPIDOS']
478,en:caramelized-mixed-nuts,['LEGUMBRES' 'LIPIDOS']
479,en:caramelized-peanuts,['LEGUMBRES' 'LIPIDOS']
480,en:caramels,['LIPIDOS']
481,en:caraway-seeds,['LEGUMBRES']
482,en:carbonara-style-pasta,['CEREALES']
483,en:carbonara-style-pasta-spaghetti-tagliatelle,['CEREALES']
484,en:carbonated-drinks,['BEBIDAS']
485,en:carbonated-fruit-soft-drink,['FRUTAS' 'BEBIDAS']
486,en:carbonated-fruit-soft-drink-with-less-than-10-of-fruit-juice,['FRUTAS' 'BEBIDAS']
487,en:carbonated-fruit-soft-drink-with-less-than-10-of-fruit-juice-without-sugar-and-artificial-sweeteners,['FRUTAS' 'LIPIDOS' 'BEBIDAS']
488,en:carbonated-fruit-soft-drink-with-sugar,['FRUTAS' 'LIPIDOS' 'BEBIDAS']
489,en:carbonated-fruit-soft-drink-with-sugar-and-less-than-10-of-fruit-juice,['FRUTAS' 'LIPIDOS' 'BEBIDAS']
490,en:carbonated-soft-drink-without-fruit-juice-without-sugar-and-with-artificial-sweeteners,['FRUTAS' 'LIPIDOS' 'BEBIDAS']
491,en:carnaroli-rices,['CEREALES']
492,en:carrot-cakes,['CEREALES']
493,en:carrot-soups,['HORTALIZAS']
494,en:carrots,['HORTALIZAS']
495,en:cashew-butters,['LIPIDOS']
496,en:cashew-nuts,['LEGUMBRES']
497,en:cassava-crisps,['CEREALES']
498,en:cassoulets-with-toulouse-sausage,['CARNE']
499,en:castellano-chickpeas,['LEGUMBRES']
500,en:caster-sugar,['LIPIDOS']
501,en:causses-blue-cheeses,['LACTEOS']
502,en:cayenne-peppers,['LEGUMBRES']
503,en:cep-mushrooms,['HORTALIZAS']
504,en:cereal-bar-with-almonds,['CEREALES' 'LEGUMBRES']
505,en:cereal-bar-with-almonds-or-hazelnuts,['LEGUMBRES' 'CEREALES']
506,en:cereal-bar-with-hazelnuts,['LEGUMBRES' 'CEREALES']
507,en:cereal-bars,['CEREALES']
508,en:cereal-brans,['CEREALES']
509,en:cereal-butters,['CEREALES' 'LIPIDOS']
510,en:cereal-chocolates,['CEREALES' 'LIPIDOS']
511,en:cereal-flakes,['CEREALES']
512,en:cereal-flakes-with-chocolate,['CEREALES' 'LIPIDOS']
513,en:cereal-flakes-with-fruits,['FRUTAS' 'CEREALES']
514,en:cereal-flours,['CEREALES']
515,en:cereal-germs,['CEREALES']
516,en:cereal-grains,['CEREALES']
517,en:cereal-milk-chocolates,['LACTEOS' 'CEREALES' 'LIPIDOS']
518,en:cereal-milks,['LACTEOS' 'CEREALES']
519,en:cereal-oils,['CEREALES' 'LIPIDOS']
520,en:cereal-semolinas,['CEREALES']
521,en:cereal-starches,['CEREALES']
522,en:cereal-syrups,['CEREALES' 'LIPIDOS']
523,en:cereales-et-derives,['CEREALES']
524,en:cereales-et-pommes-de-terre,['CEREALES' 'FRUTAS']
525,en:cereales-pour-petit-dejeuner,['CEREALES']
